timestamp,userPrincipalName,userId,appDisplayName,clientAppUsed,ipAddress,correlationId,location_city,location_countryOrRegion,deviceDetail_operatingSystem,deviceDetail_browser,isInteractive,status_errorCode,status_failureReason
2024-11-18T08:12:44Z,alice@contoso.com,1a2b3c4d5e6f,Microsoft Teams,Mobile Apps and Desktop Clients,83.135.22.14,3e5d7fa2-9ad7-4f33-a691-4c55b808ef21,Munich,DE,iOS,Mobile Safari,true,0,Success
2024-11-18T08:14:02Z,bob@contoso.com,77e8f91c2231,Exchange Online,Browser,192.168.1.44,8f11a99f-2820-4418-82aa-87c61e2f3c88,Berlin,DE,Windows 10,Chrome,true,0,Success
2024-11-18T08:17:58Z,charlie@contoso.com,991123ab88ff,Azure Portal,Browser,102.54.33.78,bc66d1fd-3a5b-4c85-9442-0b98d1ba2a77,Cape Town,ZA,Windows 11,Edge,true,0,Success
2024-11-18T08:21:10Z,dana@contoso.com,af88ccdd2211,Microsoft OneDrive,Mobile Apps and Desktop Clients,10.13.55.99,ac21fbb1-e2a5-44f8-a3f8-9e4f8eb5acb4,Hamburg,DE,Android 13,Chrome Mobile,true,0,Success
2024-11-18T08:33:14Z,alice@contoso.com,1a2b3c4d5e6f,Microsoft Teams,Browser,83.135.22.14,ee12b3aa-26ed-4fd4-b080-6efe0ce38e43,Munich,DE,Windows 10,Firefox,true,50055,Invalid password
2024-11-18T08:35:01Z,bob@contoso.com,77e8f91c2231,Exchange Online,Mobile Apps and Desktop Clients,192.168.1.44,0be9fa31-923a-4d9b-a78d-e5146ae8e08a,Berlin,DE,iOS,Mobile Safari,true,0,Success
2024-11-18T08:41:44Z,eve@contoso.com,f55c7788abcd,Azure Portal,Browser,45.66.23.88,ba552833-4a64-4fb2-89ae-c38dfdb1e7c0,Prague,CZ,Windows 10,Chrome,true,50126,Invalid username or password
2024-11-18T08:45:20Z,eve@contoso.com,f55c7788abcd,Azure Portal,Browser,45.66.23.88,1cf26fe8-c5f7-4a57-a91f-bef9c7b680ab,Prague,CZ,Windows 10,Chrome,true,50053,Account locked
2024-11-18T08:51:09Z,charlie@contoso.com,991123ab88ff,Microsoft Graph PowerShell,Other clients,102.54.33.78,0ab1d77f-febe-4bc8-a4ee-076f77ec5093,Cape Town,ZA,Windows 11,PowerShell,false,0,Success
2024-11-18T09:03:22Z,frank@contoso.com,a199c4d7e7aa,Microsoft Outlook,Browser,172.16.44.200,3b1c7d4b-f640-4da5-bb1b-467efb3d7058,Dublin,IE,macOS,Chrome,true,0,Success
2024-11-18T09:07:55Z,georgia@contoso.com,6ffbaa113311,SharePoint Online,Browser,185.22.33.99,4f8fb01a-bf5a-4f0e-8bc0-1543f3538c20,Athens,GR,Windows 10,Edge,true,0,Success
2024-11-18T09:15:30Z,alice@contoso.com,1a2b3c4d5e6f,Microsoft Teams,Browser,83.135.22.14,01dfa6e8-b80b-4233-b5d0-28a8fc3d2f3b,Munich,DE,Windows 10,Firefox,true,0,Success
2024-11-18T09:17:44Z,bob@contoso.com,77e8f91c2231,Exchange Online,Browser,192.168.1.44,2f6c0aa4-96c2-440d-88b0-b81707ef5329,Berlin,DE,Windows 10,Chrome,true,50076,User password expired
2024-11-18T09:22:55Z,hannah@contoso.com,bc2f4da2ee99,Microsoft Word Online,Browser,131.203.55.44,5b00a5e4-8207-4d3e-a514-e9451de8e17c,New York,US,Windows 11,Chrome,true,0,Success
2024-11-18T09:24:12Z,dana@contoso.com,af88ccdd2211,Microsoft OneDrive,Mobile Apps and Desktop Clients,10.13.55.99,91897c0e-bfc8-4d83-85e3-1b1d89f0262c,Hamburg,DE,Android 13,Chrome Mobile,true,0,Success
2024-11-18T09:27:48Z,eve@contoso.com,f55c7788abcd,Azure Portal,Browser,45.66.23.88,eae8b32f-38bd-4a1b-ac42-a66e2897b1d1,Prague,CZ,Windows 10,Chrome,true,50053,Account locked
2024-11-18T09:31:02Z,frank@contoso.com,a199c4d7e7aa,Microsoft Outlook,Browser,172.16.44.200,c761cc7f-00b5-4ef7-b43c-bd2b55feeef7,Dublin,IE,macOS,Chrome,true,0,Success
2024-11-18T09:35:28Z,charlie@contoso.com,991123ab88ff,Azure Portal,Browser,102.54.33.78,cd70c1ab-6f95-4fcc-b1cb-4fe6ca9a1b8a,Cape Town,ZA,Windows 11,Edge,true,0,Success
2024-11-18T09:37:55Z,georgia@contoso.com,6ffbaa113311,SharePoint Online,Browser,185.22.33.99,6ef145e6-ecce-4194-a92f-6ac3165ee7c7,Athens,GR,Windows 10,Edge,true,0,Success
2024-11-18T09:40:14Z,hannah@contoso.com,bc2f4da2ee99,Microsoft Word Online,Browser,131.203.55.44,ae3e57fe-407b-44cc-934b-34f2e9891720,New York,US,Windows 11,Chrome,true,0,Success
